Kg_Fuel;Outer Tank LH X-arm;Outer Tank LH Y-arm;Moment_X_OLH;Moment_Y_OLH;Outer Tank RH X-arm;Outer Tank RH Y-arm;Moment_X_ORH;Moment_Y_ORH
1530;37,923;24,82675;58022,19;70756,2375;37,923;-19,95325;58022,19;-56866,7625
1535;37,925;24,82675;58214,875;70756,2375;37,925;-19,95325;58214,875;-56866,7625
1540;37,927;24,82675;58407,58;70756,2375;37,927;-19,95325;58407,58;-56866,7625
1545;37,929;24,82675;58600,305;70756,2375;37,929;-19,95325;58600,305;-56866,7625
1550;37,931;24,82675;58793,05;70756,2375;37,931;-19,95325;58793,05;-56866,7625
1555;37,933;24,82675;58985,815;70756,2375;37,933;-19,95325;58985,815;-56866,7625
1560;37,935;24,82675;59178,6;70756,2375;37,935;-19,95325;59178,6;-56866,7625
1565;37,937;24,82675;59371,405;70756,2375;37,937;-19,95325;59371,405;-56866,7625
1570;37,939;24,82675;59564,23;70756,2375;37,939;-19,95325;59564,23;-56866,7625
1575;37,941;24,82675;59757,075;70756,2375;37,941;-19,95325;59757,075;-56866,7625
1580;37,943;24,82675;59949,94;70756,2375;37,943;-19,95325;59949,94;-56866,7625
1585;37,945;24,82675;60142,825;70756,2375;37,945;-19,95325;60142,825;-56866,7625
1590;37,947;24,82675;60335,73;70756,2375;37,947;-19,95325;60335,73;-56866,7625
